N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"55,400",200,-0.36%,100,"3,307,260","5,969,783",56.02,"14,528,265",17.33,8.69,
2,SK하이닉스,"77,800","1,300",-1.64%,"5,000","566,386","728,002",47.47,"2,455,963",24.78,4.25,
3,NAVER,"333,000","4,000",-1.19%,100,"546,997","164,263",55.55,"933,763",77.62,10.56,
4,LG화학,"759,000","3,000",-0.39%,"5,000","535,796","70,592",36.53,"493,055",130.84,1.84,
5,삼성바이오로직스,"799,000","2,000",-0.25%,"2,500","528,658","66,165",10.33,"99,401",153.92,4.77,
6,셀트리온,"304,500",0,0.00%,"1,000","411,056","134,994",21.56,"546,613",102.70,11.19,
7,삼성전자우,"48,200",200,-0.41%,100,"396,631","822,887",88.06,"1,463,632",15.08,N/A,
8,현대차,"172,000","8,500",+5.20%,"5,000","367,509","213,668",32.05,"5,533,930",24.78,4.32,
9,카카오,"405,500","5,000",-1.22%,500,"356,897","88,014",32.55,"1,498,341",-231.71,-5.81,
10,삼성SDI,"466,000","3,000",-0.64%,"5,000","320,443","68,765",42.02,"461,008",171.20,2.94,
11,LG생활건강,"1,509,000","10,000",+0.67%,"5,000","235,679","15,618",45.30,"23,994",34.41,20.32,
12,현대모비스,"226,000","9,000",+4.15%,"5,000","214,824","95,055",44.07,"775,781",12.31,7.28,
13,삼성물산,"112,500","1,500",+1.35%,100,"210,248","186,887",14.49,"428,783",19.66,4.77,
14,SK텔레콤,"242,500","3,000",-1.22%,500,"195,808","80,746",35.00,"843,087",19.90,3.92,
15,엔씨소프트,"856,000","7,000",-0.81%,500,"187,926","21,954",49.92,"99,213",36.05,14.72,
16,기아차,"42,750",550,+1.30%,"5,000","173,293","405,363",39.09,"2,027,378",16.28,6.50,
17,POSCO,"189,500","1,000",+0.53%,"5,000","165,219","87,187",52.50,"376,309",18.01,4.18,
18,KB금융,"38,000","1,050",+2.84%,"5,000","158,007","415,808",65.57,"3,086,093",4.96,8.92,
19,SK,"224,000","9,000",+4.19%,200,"157,607","70,360",22.45,"443,317",-431.60,4.31,
20,LG,"84,800",500,-0.59%,"5,000","146,328","172,557",34.92,"346,933",18.10,5.87,
21,SK이노베이션,"157,000","1,500",+0.96%,"5,000","145,171","92,466",23.88,"1,187,096",-6.43,-0.20,
22,신한지주,"30,300",300,+1.00%,"5,000","144,651","477,397",62.94,"2,347,516",4.36,9.09,
23,LG전자,"85,900",300,-0.35%,"5,000","140,573","163,648",34.68,"948,239",34.47,0.22,
24,한국전력,"20,700",300,+1.47%,"5,000","132,887","641,964",17.78,"3,341,799",-14.43,-3.42,
25,넷마블,"152,500","2,000",+1.33%,100,"130,855","85,807",22.75,"410,939",63.09,3.54,
26,SK바이오팜,"167,000",500,-0.30%,500,"130,783","78,313",2.18,"151,654",-151.82,-313.66,
27,삼성에스디에스,"158,500",500,-0.31%,500,"122,644","77,378",12.66,"128,181",23.53,11.76,
28,삼성생명,"60,500","1,200",+2.02%,500,"121,000","200,000",12.34,"1,064,215",15.92,3.26,
29,KT&G,"84,800",400,-0.47%,"5,000","116,424","137,292",42.69,"481,975",11.34,12.39,
30,아모레퍼시픽,"170,500","1,000",-0.58%,500,"99,672","58,458",31.29,"209,938",85.72,5.36,
31,삼성전기,"129,000",500,+0.39%,"5,000","96,355","74,694",33.17,"329,871",39.70,10.18,
32,삼성화재,"184,000","4,000",+2.22%,500,"87,170","47,375",46.89,"144,465",15.77,4.85,
33,하나금융지주,"28,950",250,+0.87%,"5,000","86,920","300,242",64.82,"1,452,002",3.47,8.77,
34,고려아연,"398,500","1,500",-0.37%,"5,000","75,197","18,870",24.29,"52,095",13.67,9.76,
35,한온시스템,"13,050",150,+1.16%,100,"69,661","533,800",21.01,"1,558,455",41.83,14.98,
36,S-Oil,"57,400",0,0.00%,"2,500","64,623","112,583",74.44,"351,568",-7.89,1.01,
37,CJ제일제당,"416,500","1,500",-0.36%,"5,000","62,701","15,054",22.46,"57,813",10.49,3.16,
38,롯데케미칼,"182,500","2,500",+1.39%,"5,000","62,553","34,275",29.35,"181,835",34.82,5.51,
39,우리금융지주,"8,640",30,+0.35%,"5,000","62,404","722,268",26.50,"1,398,596",3.34,N/A,
40,KT,"23,750",50,-0.21%,"5,000","62,014","261,112",45.34,"908,765",10.35,4.61,
41,한국조선해양,"87,600",500,+0.57%,"5,000","61,997","70,773",16.67,"243,872",58.91,1.40,
42,미래에셋대우,"9,490",130,+1.39%,"5,000","61,241","645,316",13.45,"4,118,942",12.86,7.56,
43,코웨이,"82,700",400,-0.48%,500,"61,032","73,800",60.41,"144,981",17.38,30.74,
44,기업은행,"8,260",40,+0.49%,"5,000","61,014","738,664",11.91,"1,171,491",3.59,7.36,
45,한화솔루션,"37,650","1,800",+5.02%,"5,000","60,189","159,864",20.17,"5,010,235",-36.34,-4.02,
46,신풍제약,"111,000",500,-0.45%,500,"58,813","52,985",3.69,"1,880,984","3,363.64",0.80,
47,오리온,"143,000",500,-0.35%,500,"56,537","39,536",44.43,"72,573",21.33,14.24,
48,KODEX 200,"31,250",165,+0.53%,0,"56,188","179,800",10.07,"5,049,691",N/A,N/A,
49,포스코케미칼,"90,700",500,+0.55%,500,"55,316","60,988",7.63,"477,049",106.96,11.57,
50,현대글로비스,"144,500","14,500",+11.15%,500,"54,188","37,500",34.50,"734,005",9.85,11.25,
